driver_id,name,phone,licence_number,rating
1,Lorraine Patel,9691812378,LIC100001,4.47
2,Dylan Herrera,7959243769,LIC100002,3.31
3,Sherry Contreras,7696718166,LIC100003,3.53
4,Natasha Mitchell,8308693035,LIC100004,3.1
5,Steven Jordan,7120443864,LIC100005,4.64
6,Steven Novak,7147002288,LIC100006,4.47
7,Michelle Roberts,7998646667,LIC100007,4.47
8,Shawn Jones,7797333220,LIC100008,4.55
9,Mr. Craig Rodriguez,9872714184,LIC100009,3.04
10,Janet Cox,7290824838,LIC100010,4.26
11,Holly Young,9601804677,LIC100011,4.22
12,Maria Steele,8731134463,LIC100012,4.26
13,Wesley Stewart,7571711405,LIC100013,4.19
14,Brenda Beard,9333770096,LIC100014,4.18
15,Amanda Vasquez,9985265543,LIC100015,4.43
16,Timothy Stevens,9955809632,LIC100016,3.82
17,Mark Brown,9741856774,LIC100017,4.37
18,Aaron Durham,7777123076,LIC100018,3.45
19,Frank Hernandez,8429115077,LIC100019,3.77
20,Rachel Faulkner,8419947796,LIC100020,4.67
21,Latoya Moore,9090056541,LIC100021,3.22
22,John Howe,8766599199,LIC100022,4.14
23,Brandon Washington,7679788504,LIC100023,3.58
24,Elizabeth Murray,9849613777,LIC100024,3.71
25,Amber Evans,7927554795,LIC100025,4.52
26,Joshua Lindsey,8929587597,LIC100026,4.93
27,Kathleen Williams,9907510814,LIC100027,3.68
28,Diane Pierce,7528434653,LIC100028,4.57
29,Jaclyn Campos,7493425100,LIC100029,3.96
30,Leslie Woods,8986031677,LIC100030,3.22
31,Sarah Lucas,8571613751,LIC100031,4.26
32,Jessica Moore,7675660899,LIC100032,4.55
33,Stephanie Graham,9362656513,LIC100033,3.18
34,Steven Fletcher,9212992733,LIC100034,3.81
35,David Duran,7361138514,LIC100035,3.07
36,Donna Lee,7525553470,LIC100036,3.37
37,Mary Phillips,7779514998,LIC100037,3.07
38,Dr. Randy Frank PhD,8168195008,LIC100038,3.47
39,Kimberly Harris,9863110346,LIC100039,4.01
40,Jennifer Turner,8239121566,LIC100040,3.86
41,Eric Estrada,9268172154,LIC100041,4.87
42,Becky Brewer,8445570497,LIC100042,3.96
43,Shannon Bradley,8478841177,LIC100043,4.21
44,Tonya Coleman,7960999572,LIC100044,4.43
45,Steve Jackson,8429601310,LIC100045,4.25
46,Sarah Nguyen,7939277931,LIC100046,4.36
47,Matthew White,9548041961,LIC100047,4.14
48,Juan Perry,7742633626,LIC100048,3.41
49,Joshua Thompson,7381011441,LIC100049,4.89
50,Robert Phillips,8370539990,LIC100050,4.75
51,Ricky Mitchell,7617716683,LIC100051,4.04
52,Antonio Ryan,9664284816,LIC100052,4.85
53,Kimberly Golden,8318221032,LIC100053,4.76
54,Mr. Joshua West V,9108949906,LIC100054,3.81
55,Jose Johnson,9754963589,LIC100055,4.2
56,Lydia Esparza,9085666037,LIC100056,3.38
57,Shelly Rogers,9441603574,LIC100057,4.73
58,Christine Kim,9304174435,LIC100058,4.07
59,Bruce Lee,8161556758,LIC100059,4.36
60,Ann Bryant,8236221598,LIC100060,3.47
61,Theresa Anderson,9293820527,LIC100061,3.39
62,Jay Morris,8312047810,LIC100062,3.13
63,Charles Smith,7916490751,LIC100063,3.62
64,Robert Tran,7900363392,LIC100064,3.33
65,Christine Wilson,8163615352,LIC100065,4.81
66,Haley Savage,7404834993,LIC100066,3.95
67,Christopher Frank,7278659730,LIC100067,3.58
68,Joshua Cook,7175146568,LIC100068,4.24
69,Mary Deleon,7658009184,LIC100069,4.45
70,Jesse Bowman,7423133876,LIC100070,3.36
71,Taylor Garza,7864934726,LIC100071,4.84
72,Carly Wilkerson,9436024151,LIC100072,4.77
73,Jesse Jordan,9605460198,LIC100073,4.55
74,David Farley,8318649791,LIC100074,3.31
75,Sherri Osborne,7210293121,LIC100075,3.88
76,Zachary Lucas,7243423057,LIC100076,4.67
77,Jasmine Williams,9300294167,LIC100077,4.31
78,Matthew Dean,8776512990,LIC100078,4.43
79,Terry Gray,9049621514,LIC100079,4.38
80,Stephanie Johnson,9606760681,LIC100080,3.41
81,Michelle Beltran,7192377900,LIC100081,3.14
82,Kevin Barnett,8635044657,LIC100082,4.05
83,Shelby Bennett,9765625048,LIC100083,3.1
84,Samantha Martin,8372585358,LIC100084,4.59
85,Mikayla Mccarthy,7709974963,LIC100085,4.94
86,Donna Garcia,9904374053,LIC100086,3.28
87,Peter Joyce,9392096688,LIC100087,4.23
88,Stephen Little,7393894355,LIC100088,4.8
89,David Smith,9750544789,LIC100089,4.25
90,Roy Chavez,7946030838,LIC100090,3.95
91,Nancy Guzman,7792656657,LIC100091,4.27
92,Kurt Henderson,7383739729,LIC100092,3.33
93,Larry Gallegos,9296897099,LIC100093,3.86
94,Tara Reynolds,9930832319,LIC100094,4.51
95,Brian Hudson,7112706037,LIC100095,3.76
96,Alicia Mitchell,8057129917,LIC100096,4.55
97,Christopher Kelly,7037195585,LIC100097,4.25
98,David Williams,9043515103,LIC100098,3.13
99,Robert Avila,8151008513,LIC100099,3.72
100,Katherine Steele,7468536338,LIC100100,3.63
101,Haley Holden MD,7203924727,LIC100101,4.7
102,Brent Prince,8974246836,LIC100102,3.28
103,Gregory Mason,7837263949,LIC100103,4.34
104,Jessica Davis,9287357762,LIC100104,3.77
105,Taylor Patterson,9491893496,LIC100105,3.46
106,Cynthia Baldwin,8044642476,LIC100106,3.14
107,Anthony Hogan,9283522058,LIC100107,3.42
108,Dana Williams,8647417988,LIC100108,4.3
109,Ryan Mcconnell,9917570829,LIC100109,3.83
110,Kerri Hampton,8830502910,LIC100110,3.54
111,Sherry Morales,7763381138,LIC100111,3.48
112,Gabrielle Jackson,8999075615,LIC100112,3.46
113,Sheila Orozco,7037209623,LIC100113,3.49
114,Nicole Schultz,8291195206,LIC100114,3.17
115,Gregory Mitchell,8853197467,LIC100115,4.73
116,Patricia Jones,8721997427,LIC100116,3.18
117,Mary Garcia,7586007375,LIC100117,3.51
118,Justin Williams,8709875027,LIC100118,4.11
119,Cynthia Torres,8729654112,LIC100119,3.9
120,Lindsey Barnes,9224513652,LIC100120,3.05
121,Dennis Sanchez,9827379643,LIC100121,3.58
122,Linda Underwood,8216667082,LIC100122,3.44
123,Danielle Spears,9517694606,LIC100123,3.04
124,Lauren Burns,7378488680,LIC100124,4.7
125,Taylor Lucas,8268944619,LIC100125,3.41
126,Mr. Brett Horton,9978161624,LIC100126,4.95
127,Johnny Mills,9185214217,LIC100127,4.14
128,Sally Hughes,7837589455,LIC100128,3.27
129,Michael Schwartz,7396166099,LIC100129,3.73
130,Eric Mann,9379950585,LIC100130,3.03
131,Crystal Cline,9003717404,LIC100131,3.62
132,Susan Silva,9740078691,LIC100132,4.3
133,Michael Griffith,7070051345,LIC100133,3.74
134,Eugene Young,9931503523,LIC100134,4.73
135,Lisa Oliver,9499244204,LIC100135,3.79
136,Morgan Smith,7009659854,LIC100136,3.29
137,Angela White,8396263194,LIC100137,3.06
138,Kenneth Atkinson,9665571410,LIC100138,4.73
139,Laura Jensen,7152076798,LIC100139,3.38
140,Jeremy Wilson,8477949143,LIC100140,3.16
141,Patrick Brooks,8386426775,LIC100141,4.12
142,Anne Young,9903235331,LIC100142,4.71
143,Nicole Miller,9844900569,LIC100143,4.86
144,Marissa Diaz,8515814693,LIC100144,3.56
145,Jaime Avila,8428726939,LIC100145,3.41
146,Mr. Todd Robbins,9683597674,LIC100146,3.43
147,Jacob Mccall,8226733851,LIC100147,3.65
148,Deanna Freeman,8417183497,LIC100148,3.28
149,Nicholas Mercer,8366037982,LIC100149,4.23
150,Amber Leon,8920885230,LIC100150,3.63
151,Jesus Ware,8677008415,LIC100151,4.86
152,Tyler Keith,9282631358,LIC100152,3.6
153,Angela Vance,8804240718,LIC100153,3.41
154,Angela Washington,7547930044,LIC100154,3.56
155,Steven Garza,9805475610,LIC100155,4.39
156,Nicholas Chen,7209164194,LIC100156,4.7
157,Kristen Garrett,8208873361,LIC100157,4.75
158,Alexander Cochran,8200245658,LIC100158,4.64
159,Thomas Duran,8881257876,LIC100159,3.21
160,David Kelley III,8525339163,LIC100160,3.28
161,Chris Brewer,8517725289,LIC100161,4.32
162,Mario Reed,9537212880,LIC100162,3.6
163,Heather Thomas,8552475161,LIC100163,3.11
164,Adam Wall,7293044452,LIC100164,4.7
165,Rachael Meza,7418197835,LIC100165,3.0
166,Matthew Carter,9964862345,LIC100166,3.54
167,Allison King,7764964771,LIC100167,3.68
168,Michael Gutierrez,9995868678,LIC100168,3.52
169,Brenda Vasquez,8955487104,LIC100169,4.91
170,Joseph Waters,9194684836,LIC100170,4.33
171,Cynthia Clark,7292448559,LIC100171,3.35
172,Tracy Vasquez,9786429017,LIC100172,3.76
173,Michael Duncan,9249517084,LIC100173,3.65
174,Jillian Stafford,9615568047,LIC100174,3.54
175,Jamie Petersen,8890228610,LIC100175,4.95
176,Jon Cannon,7132631352,LIC100176,4.86
177,Jesse Graham,7718423978,LIC100177,3.21
178,Curtis Smith,7125848129,LIC100178,3.14
179,Brooke Martinez,7992535637,LIC100179,3.76
180,Melanie Thompson,7492872194,LIC100180,4.44
181,Omar Beck,9666557623,LIC100181,4.58
182,Kendra Stafford,9565665347,LIC100182,3.85
183,Blake Gordon,9397923820,LIC100183,4.55
184,Donna Cortez,8958716271,LIC100184,3.95
185,Victoria Gonzales,7960645136,LIC100185,4.15
186,Andrew Ramirez,9102016832,LIC100186,3.98
187,Erin Foster,9077958623,LIC100187,3.67
188,Anthony Campbell,7300082722,LIC100188,4.49
189,David Arnold,7784155428,LIC100189,4.64
190,Erin Sandoval,7684912886,LIC100190,4.5
191,Lisa Hernandez,8933965431,LIC100191,4.38
192,Nicole Benson,8166208192,LIC100192,4.94
193,Jill Blankenship,9261026364,LIC100193,3.12
194,Lisa Webb,8470193461,LIC100194,3.72
195,Matthew Rogers,7209297254,LIC100195,4.46
196,Kristina Oliver,8964177305,LIC100196,3.48
197,Anna Curtis,7323072138,LIC100197,3.72
198,Jennifer Smith MD,7198496970,LIC100198,3.97
199,Damon Atkinson,9000816786,LIC100199,3.23
200,Philip Williams,8150276790,LIC100200,3.26
201,Adam Williams,9464171714,LIC100201,4.83
202,Nathan George,8878934375,LIC100202,3.03
203,Sarah Miller,9642050808,LIC100203,4.67
204,Veronica Miller,7654513995,LIC100204,3.22
205,Aaron Curry,9837848848,LIC100205,3.54
206,Paula Mills,7390735367,LIC100206,3.91
207,Randy Bond,9260805133,LIC100207,3.45
208,Jasmine Benson,9132050266,LIC100208,3.67
209,Danielle Gregory,8510108193,LIC100209,3.15
210,Brian Johnson,8222405428,LIC100210,3.8
211,Gregory Stone,7627274194,LIC100211,4.44
212,Kristin Robinson,7280175593,LIC100212,4.9
